Angle,Intensity
29.8157,2074
29.8259,2105
29.8361,2095
29.8463,2187
29.8565,2105
29.8667,2154
29.8769,2235
29.8871,2206
29.8973,2182
29.9075,2261
29.9177,2220
29.9279,2188
29.938,2163
29.9482,2148
29.9584,2179
29.9686,2196
29.9788,2244
29.989,2222
29.9992,2302
30.0094,2257
30.0196,2126
30.0298,2244
30.04,2239
30.0502,2131
30.0604,2153
30.0706,2233
30.0807,2195
30.0909,2337
30.1011,2211
30.1113,2194
30.1215,2242
30.1317,2161
30.1419,2298
30.1521,2289
30.1623,2217
30.1725,2152
30.1827,2158
30.1929,2242
30.2031,2189
30.2133,2210
30.2234,2235
30.2336,2304
30.2438,2245
30.254,2173
30.2642,2284
30.2744,2288
30.2846,2243
30.2948,2123
30.305,2234
30.3152,2234
30.3254,2296
30.3356,2299
30.3458,2301
30.356,2196
30.3661,2325
30.3763,2325
30.3865,2306
30.3967,2327
30.4069,2300
30.4171,2217
30.4273,2313
30.4375,2284
30.4477,2343
30.4579,2336
30.4681,2301
30.4783,2380
30.4885,2280
30.4987,2206
30.5088,2322
30.519,2344
30.5292,2309
30.5394,2333
30.5496,2327
30.5598,2319
30.57,2316
30.5802,2287
30.5904,2286
30.6006,2352
30.6108,2245
30.621,2370
30.6312,2363
30.6414,2289
30.6515,2400
30.6617,2414
30.6719,2359
30.6821,2404
30.6923,2271
30.7025,2360
30.7127,2366
30.7229,2333
30.7331,2257
30.7433,2311
30.7535,2267
30.7637,2337
30.7739,2318
30.7841,2391
30.7942,2357
30.8044,2385
30.8146,2392
30.8248,2279
30.835,2303
30.8452,2346
30.8554,2422
30.8656,2377
30.8758,2329
30.886,2349
30.8962,2308
30.9064,2448
30.9166,2272
30.9268,2438
30.9369,2376
30.9471,2495
30.9573,2356
30.9675,2333
30.9777,2453
30.9879,2370
30.9981,2371
31.0083,2329
31.0185,2347
31.0287,2406
31.0389,2352
31.0491,2337
31.0593,2326
31.0695,2403
31.0796,2534
31.0898,2311
31.1,2425
31.1102,2419
31.1204,2393
31.1306,2383
31.1408,2457
31.151,2451
31.1612,2404
31.1714,2291
31.1816,2427
31.1918,2419
31.202,2328
31.2122,2343
31.2223,2479
31.2325,2323
31.2427,2375
31.2529,2397
31.2631,2435
31.2733,2447
31.2835,2424
31.2937,2354
31.3039,2317
31.3141,2339
31.3243,2357
31.3345,2405
31.3447,2372
31.3549,2308
31.365,2405
31.3752,2364
31.3854,2407
31.3956,2370
31.4058,2444
31.416,2443
31.4262,2392
31.4364,2431
31.4466,2493
31.4568,2415
31.467,2402
31.4772,2400
31.4874,2388
31.4976,2386
31.5077,2422
31.5179,2419
31.5281,2424
31.5383,2372
31.5485,2391
31.5587,2421
31.5689,2402
31.5791,2389
31.5893,2413
31.5995,2444
31.6097,2425
31.6199,2383
31.6301,2419
31.6403,2384
31.6504,2397
31.6606,2408
31.6708,2371
31.681,2447
31.6912,2450
31.7014,2451
31.7116,2398
31.7218,2268
31.732,2351
31.7422,2349
31.7524,2385
31.7626,2452
31.7728,2451
31.783,2426
31.7931,2411
31.8033,2375
31.8135,2316
31.8237,2330
31.8339,2455
31.8441,2361
31.8543,2340
31.8645,2495
31.8747,2344
31.8849,2415
31.8951,2451
31.9053,2362
31.9155,2352
31.9257,2367
31.9359,2352
31.946,2385
31.9562,2343
31.9664,2406
31.9766,2404
31.9868,2437
31.997,2405
32.0072,2320
32.0174,2459
32.0276,2432
32.0378,2415
32.048,2368
32.0582,2421
32.0684,2402
32.0786,2480
32.0887,2342
32.0989,2349
32.1091,2348
32.1193,2390
32.1295,2373
32.1397,2414
32.1499,2441
32.1601,2382
32.1703,2412
32.1805,2372
32.1907,2372
32.2009,2386
32.2111,2311
32.2213,2338
32.2314,2445
32.2416,2334
32.2518,2422
32.262,2335
32.2722,2295
32.2824,2387
32.2926,2359
32.3028,2336
32.313,2320
32.3232,2343
32.3334,2362
32.3436,2428
32.3538,2404
32.364,2337
32.3741,2324
32.3843,2386
32.3945,2398
32.4047,2325
32.4149,2333
32.4251,2396
32.4353,2310
32.4455,2349
32.4557,2423
32.4659,2318
32.4761,2301
32.4863,2350
32.4965,2339
32.5067,2339
32.5168,2414
32.527,2310
32.5372,2317
32.5474,2398
32.5576,2314
32.5678,2305
32.578,2281
32.5882,2339
32.5984,2303
32.6086,2394
32.6188,2386
32.629,2309
32.6392,2317
32.6494,2277
32.6595,2418
32.6697,2267
32.6799,2315
32.6901,2215
32.7003,2305
32.7105,2348
32.7207,2297
32.7309,2256
32.7411,2318
32.7513,2368
32.7615,2255
32.7717,2386
32.7819,2251
32.7921,2285
32.8022,2377
32.8124,2296
32.8226,2324
32.8328,2393
32.843,2307
32.8532,2242
32.8634,2297
32.8736,2260
32.8838,2382
32.894,2239
32.9042,2352
32.9144,2248
32.9246,2287
32.9348,2375
32.9449,2332
32.9551,2282
32.9653,2365
32.9755,2360
32.9857,2217
32.9959,2218
33.0061,2284
33.0163,2259
33.0265,2321
33.0367,2272
33.0469,2251
33.0571,2284
33.0673,2292
33.0775,2285
33.0876,2303
33.0978,2243
33.108,2268
33.1182,2205
33.1284,2235
33.1386,2208
33.1488,2303
33.159,2211
33.1692,2255
33.1794,2265
33.1896,2199
33.1998,2262
33.21,2192
33.2202,2268
33.2303,2241
33.2405,2221
33.2507,2283
33.2609,2213
33.2711,2321
33.2813,2233
33.2915,2096
33.3017,2243
33.3119,2234
33.3221,2239
33.3323,2203
33.3425,2300
33.3527,2256
33.3629,2278
33.373,2197
33.3832,2166
33.3934,2183
33.4036,2218
33.4138,2148
33.424,2149
33.4342,2261
33.4444,2208
33.4546,2235
33.4648,2199
33.475,2156
33.4852,2196
33.4954,2210
33.5056,2226
33.5157,2254
33.5259,2261
33.5361,2183
33.5463,2271
33.5565,2243
33.5667,2192
33.5769,2204
33.5871,2213
33.5973,2196
33.6075,2105
33.6177,2248
33.6279,2263
33.6381,2210
33.6483,2125
33.6584,2151
33.6686,2145
33.6788,2077
33.689,2158
33.6992,2122
33.7094,2116
33.7196,2117
33.7298,2130
33.74,2064
33.7502,2120
33.7604,2180
33.7706,2073
33.7808,2106
33.791,2125
33.8011,2175
33.8113,2191
33.8215,2167
33.8317,2137
33.8419,2098
33.8521,2149
33.8623,2172
33.8725,2185
33.8827,2110
